sample_name,species,AMC (disk),AMK (disk),AMK (mic),AMK (vitek),AMP (vitek),AMX (disk),AMX (vitek),ATM (disk),ATM (vitek),CAZ (disk),CAZ (mic),CAZ (vitek),CHL (vitek),CIP (disk),CIP (vitek),COL (mic),CRO (mic),CRO (vitek),CTX (disk),CTX (mic),CTX (vitek),CXM (vitek),CZA (disk),CZA (vitek),CZT (disk),CZT (vitek),ETP (disk),ETP (mic),ETP (vitek),FEP (disk),FEP (mic),FEP (vitek),FOS (disk),FOX (disk),FOX (vitek),GEN (disk),GEN (mic),GEN (vitek),IPM (disk),IPM (mic),IPM (vitek),LVX (disk),LVX (vitek),MEC (disk),MEM (disk),MEM (mic),MEM (vitek),NAL (vitek),NET (disk),OFX (vitek),PIP (vitek),PRL (disk),SXT (disk),SXT (vitek),TCC (disk),TCC (vitek),TGC (disk),TGC (vitek),TIC (disk),TIC (vitek),TOB (disk),TOB (vitek),TZP (disk),TZP (mic),TZP (vitek),AMC (disk) cat,AMK (disk) cat,AMK (mic) cat,AMK (vitek) cat,AMP (vitek) cat,AMX (disk) cat,AMX (vitek) cat,ATM (disk) cat,ATM (vitek) cat,CAZ (disk) cat,CAZ (mic) cat,CAZ (vitek) cat,CHL (vitek) cat,CIP (disk) cat,CIP (vitek) cat,COL (mic) cat,CRO (mic) cat,CRO (vitek) cat,CTX (disk) cat,CTX (mic) cat,CTX (vitek) cat,CXM (vitek) cat,CZA (disk) cat,CZA (vitek) cat,CZT (disk) cat,CZT (vitek) cat,ETP (disk) cat,ETP (mic) cat,ETP (vitek) cat,FEP (disk) cat,FEP (mic) cat,FEP (vitek) cat,FOS (disk) cat,FOX (disk) cat,FOX (vitek) cat,GEN (disk) cat,GEN (mic) cat,GEN (vitek) cat,IPM (disk) cat,IPM (mic) cat,IPM (vitek) cat,LVX (disk) cat,LVX (vitek) cat,MEC (disk) cat,MEM (disk) cat,MEM (mic) cat,MEM (vitek) cat,NAL (vitek) cat,NET (disk) cat,OFX (vitek) cat,PIP (vitek) cat,PRL (disk) cat,SXT (disk) cat,SXT (vitek) cat,TCC (disk) cat,TCC (vitek) cat,TGC (disk) cat,TGC (vitek) cat,TIC (disk) cat,TIC (vitek) cat,TOB (disk) cat,TOB (vitek) cat,TZP (disk) cat,TZP (mic) cat,TZP (vitek) cat
KLEQUA10,Klebsiella quasipneumoniae similipneumoniae,,,0.5,2.0,16.0,,,,32.0,,32.0,32.0,,,4.0,0.5,16.0,32.0,,16.0,32.0,32.0,,0.5,,1.0,,4.0,,,32.0,16.0,,,32.0,,0.25,1.0,,2.0,2.0,,160.0,,,1.0,0.5,,,,64.0,,,,,,,,,64.0,,1.0,,64.0,,NA,NA,S,S,R,NA,NA,NA,R,NA,R,R,NA,NA,R,S,R,R,NA,R,R,R,NA,S,NA,S,NA,R,NA,NA,R,R,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,S,NA,R,NA
CITAMA5,Citrobacter amalonaticus,,,1.0,2.0,,,,,32.0,,32.0,16.0,0.12,,4.0,0.5,16.0,32.0,,16.0,32.0,,,2.0,,8.0,,0.06,0.5,,32.0,8.0,,,32.0,,0.5,1.0,,0.12,0.25,,160.0,,,0.06,0.25,,,,64.0,,,,,64.0,,0.25,,64.0,,1.0,,64.0,64.0,NA,NA,S,S,NA,NA,NA,NA,R,NA,R,R,S,NA,R,S,R,R,NA,R,R,NA,NA,S,NA,R,NA,S,R,NA,R,R,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,S,NA,R,NA,S,NA,R,R
CITFRE38,Citrobacter freundii,,,4.0,,,,,,,,32.0,32.0,32.0,,0.25,0.5,16.0,32.0,,16.0,32.0,,,8.0,,16.0,,4.0,4.0,,32.0,16.0,,,,,1.0,2.0,,2.0,2.0,,,,,2.0,8.0,2.0,,0.25,64.0,,,,,64.0,,,,64.0,,,,64.0,64.0,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,R,R,NA,S,S,R,R,NA,R,R,NA,NA,R,NA,R,NA,R,R,NA,R,R,NA,NA,NA,NA,S,R,NA,S,S,NA,NA,NA,NA,S,R,S,NA,S,R,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,R
COLI197,Escherichia coli,,,2.0,,16.0,,,,,,4.0,32.0,32.0,,2.0,0.5,2.0,32.0,,2.0,32.0,32.0,,8.0,,16.0,,0.5,,,4.0,16.0,,,32.0,,8.0,8.0,,4.0,8.0,,,,,32.0,8.0,16.0,,4.0,64.0,,,,,64.0,,0.5,,64.0,,,,8.0,64.0,NA,NA,S,NA,R,NA,NA,NA,NA,NA,R,R,R,NA,R,S,R,R,NA,R,R,R,NA,R,NA,R,NA,R,NA,NA,R,R,NA,NA,R,NA,R,R,NA,R,R,NA,NA,NA,NA,R,R,R,NA,R,R,NA,NA,NA,NA,R,NA,R,NA,R,NA,NA,NA,R,R
COLI198,Escherichia coli,,,1.0,,16.0,,,,,,4.0,32.0,16.0,,2.0,0.5,2.0,32.0,,2.0,32.0,32.0,,8.0,,16.0,,0.25,0.5,,8.0,8.0,,,32.0,,0.5,1.0,,1.0,0.25,,,,,0.06,0.25,16.0,,4.0,64.0,,,,,64.0,,0.5,,64.0,,,,8.0,64.0,NA,NA,S,NA,R,NA,NA,NA,NA,NA,R,R,R,NA,R,S,R,R,NA,R,R,R,NA,R,NA,R,NA,S,R,NA,R,R,NA,NA,R,NA,S,S,NA,S,S,NA,NA,NA,NA,S,S,R,NA,R,R,NA,NA,NA,NA,R,NA,R,NA,R,NA,NA,NA,R,R
COLI199,Escherichia coli,,,2.0,,16.0,,,,,,4.0,32.0,4.0,,0.25,1.0,2.0,32.0,,2.0,32.0,32.0,,0.12,,1.0,,0.12,0.5,,32.0,16.0,,,32.0,,0.5,1.0,,0.25,0.5,,,,,0.06,0.25,2.0,,0.25,64.0,,,,,64.0,,0.5,,64.0,,,,8.0,64.0,NA,NA,S,NA,R,NA,NA,NA,NA,NA,R,R,S,NA,S,S,R,R,NA,R,R,R,NA,S,NA,S,NA,S,R,NA,R,R,NA,NA,R,NA,S,S,NA,S,S,NA,NA,NA,NA,S,S,S,NA,S,R,NA,NA,NA,NA,R,NA,R,NA,R,NA,NA,NA,R,R
CITAMA6,Citrobacter amalonaticus,,,2.0,2.0,,,,,32.0,,16.0,16.0,0.12,,4.0,0.5,16.0,32.0,,16.0,32.0,,,0.5,,16.0,,0.06,0.5,,16.0,16.0,,,32.0,,0.5,1.0,,0.25,0.25,,160.0,,,0.06,0.25,,,,64.0,,,,,64.0,,0.25,,64.0,,1.0,,64.0,64.0,NA,NA,S,S,NA,NA,NA,NA,R,NA,R,R,S,NA,R,S,R,R,NA,R,R,NA,NA,S,NA,R,NA,S,R,NA,R,R,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,S,NA,R,NA,S,NA,R,R
ENTHOR18,Enterobacter hormaechei hoffmannii,,,1.0,,,,,,,,32.0,32.0,16.0,,0.25,0.5,16.0,32.0,,16.0,32.0,,,0.5,,16.0,,1.0,,,4.0,2.0,,,,,0.25,1.0,,0.25,0.25,,,,,0.06,0.25,2.0,,0.25,64.0,,,,,64.0,,,,64.0,,,,64.0,64.0,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,R,R,NA,S,S,R,R,NA,R,R,NA,NA,S,NA,R,NA,R,NA,NA,R,U,NA,NA,NA,NA,S,S,NA,S,S,NA,NA,NA,NA,S,S,S,NA,S,R,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,R
COLI200,Escherichia coli,,,2.0,,16.0,,,,,,4.0,32.0,32.0,,2.0,0.5,2.0,32.0,,2.0,32.0,32.0,,2.0,,16.0,,0.5,4.0,,16.0,16.0,,,32.0,,2.0,8.0,,16.0,4.0,,,,,4.0,2.0,16.0,,4.0,64.0,,,,,64.0,,0.5,,64.0,,,,8.0,64.0,NA,NA,S,NA,R,NA,NA,NA,NA,NA,R,R,R,NA,R,S,R,R,NA,R,R,R,NA,S,NA,R,NA,R,R,NA,R,R,NA,NA,R,NA,R,R,NA,R,R,NA,NA,NA,NA,U,S,R,NA,R,R,NA,NA,NA,NA,R,NA,R,NA,R,NA,NA,NA,R,R
ENTROG2,Enterobacter roggenkampii,,,8.0,,,,,,,,32.0,32.0,4.0,,0.25,0.5,16.0,32.0,,16.0,32.0,,,2.0,,8.0,,8.0,,,4.0,0.5,,,,,2.0,4.0,,4.0,2.0,,,,,2.0,1.0,2.0,,0.25,64.0,,,,,64.0,,,,64.0,,,,64.0,64.0,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,R,R,S,NA,S,S,R,R,NA,R,R,NA,NA,S,NA,R,NA,R,NA,NA,R,S,NA,NA,NA,NA,R,R,NA,R,S,NA,NA,NA,NA,S,S,S,NA,S,R,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,R
PRTPEN6,Proteus penneri,,,2.0,2.0,16.0,,,,1.0,,0.25,1.0,0.12,,2.0,8.0,1.0,0.25,,0.5,1.0,,,0.12,,0.5,,0.06,0.5,,0.25,0.12,,,8.0,,0.5,1.0,,2.0,2.0,,20.0,,,0.06,0.25,,,,4.0,,,,,8.0,,0.25,,32.0,,1.0,,1.0,4.0,NA,NA,S,S,R,NA,NA,NA,S,NA,S,S,S,NA,R,R,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,NA,S,NA,R,NA,S,NA,S,S
CITFRE29,Citrobacter freundii,,,2.0,,,,,,,,32.0,32.0,8.0,,2.0,0.5,16.0,32.0,,16.0,32.0,,,0.5,,16.0,,8.0,4.0,,32.0,16.0,,,,,16.0,8.0,,1.0,2.0,,,,,2.0,4.0,16.0,,4.0,64.0,,,,,64.0,,,,64.0,,,,64.0,64.0,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,R,S,NA,R,S,R,R,NA,R,R,NA,NA,S,NA,R,NA,R,R,NA,R,R,NA,NA,NA,NA,R,R,NA,S,S,NA,NA,NA,NA,S,U,R,NA,R,R,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,R
RAOORN8,Raoultella ornithinolytica,,,0.5,2.0,16.0,,,,1.0,,32.0,4.0,0.12,,2.0,0.5,1.0,0.25,,4.0,1.0,4.0,,0.5,,0.25,,0.12,0.5,,0.25,0.12,,,32.0,,16.0,8.0,,1.0,1.0,,160.0,,,0.12,0.25,,,,64.0,,,,,16.0,,0.25,,64.0,,2.0,,8.0,4.0,NA,NA,S,S,R,NA,NA,NA,S,NA,R,R,S,NA,R,S,S,S,NA,R,S,U,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,R,R,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,S,NA,S,NA,R,NA,R,NA,R,S
COLI201,Escherichia coli,,,8.0,,16.0,,,,,,4.0,32.0,16.0,,2.0,1.0,2.0,32.0,,2.0,32.0,32.0,,4.0,,16.0,,1.0,1.0,,4.0,16.0,,,32.0,,2.0,8.0,,0.25,0.25,,,,,0.06,0.25,16.0,,4.0,64.0,,,,,64.0,,0.5,,64.0,,,,8.0,64.0,NA,NA,R,NA,R,NA,NA,NA,NA,NA,R,R,R,NA,R,S,R,R,NA,R,R,R,NA,S,NA,R,NA,R,R,NA,R,R,NA,NA,R,NA,R,R,NA,S,S,NA,NA,NA,NA,S,S,R,NA,R,R,NA,NA,NA,NA,R,NA,R,NA,R,NA,NA,NA,R,R
COLI202,Escherichia coli,,,8.0,,16.0,,,,,,32.0,32.0,8.0,,2.0,0.5,2.0,32.0,,2.0,32.0,32.0,,0.25,,16.0,,0.25,0.5,,32.0,8.0,,,32.0,,2.0,8.0,,0.25,0.25,,,,,0.06,0.25,16.0,,4.0,64.0,,,,,64.0,,0.5,,64.0,,,,16.0,64.0,NA,NA,R,NA,R,NA,NA,NA,NA,NA,R,R,S,NA,R,S,R,R,NA,R,R,R,NA,S,NA,R,NA,S,R,NA,R,R,NA,NA,R,NA,R,R,NA,S,S,NA,NA,NA,NA,S,S,R,NA,R,R,NA,NA,NA,NA,R,NA,R,NA,R,NA,NA,NA,R,R
PRTMIR44,Proteus mirabilis,,,4.0,2.0,16.0,,,,1.0,,4.0,2.0,0.12,,2.0,8.0,2.0,1.0,,2.0,2.0,4.0,,0.12,,0.25,,0.06,0.5,,0.5,0.12,,,16.0,,1.0,1.0,,2.0,2.0,,20.0,,,0.06,0.25,,,,16.0,,,,,8.0,,0.25,,8.0,,1.0,,1.0,4.0,NA,NA,S,S,R,NA,NA,NA,S,NA,R,U,S,NA,R,R,R,S,NA,R,R,U,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,S,NA,S,NA,S,NA,S,NA,S,S
ENTHOR19,Enterobacter hormaechei hoffmannii,,,0.5,,,,,,,,32.0,16.0,8.0,,0.25,0.5,16.0,32.0,,16.0,32.0,,,0.25,,1.0,,1.0,0.5,,2.0,0.25,,,,,0.12,1.0,,0.25,0.25,,,,,0.25,0.25,2.0,,0.25,64.0,,,,,64.0,,,,,,,,32.0,16.0,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,R,S,NA,S,S,R,R,NA,R,R,NA,NA,S,NA,S,NA,R,R,NA,U,S,NA,NA,NA,NA,S,S,NA,S,S,NA,NA,NA,NA,S,S,S,NA,S,R,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,R,R
COLI203,Escherichia coli,,,2.0,,16.0,,,,,,4.0,1.0,32.0,,2.0,0.5,0.25,1.0,,1.0,1.0,4.0,,0.12,,0.25,,0.06,0.5,,0.5,0.12,,,32.0,,1.0,1.0,,0.12,0.25,,,,,0.06,0.25,16.0,,4.0,64.0,,,,,8.0,,0.5,,64.0,,,,1.0,4.0,NA,NA,S,NA,R,NA,NA,NA,NA,NA,R,S,R,NA,R,S,S,S,NA,S,S,U,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,NA,NA,NA,S,S,R,NA,R,R,NA,NA,NA,NA,S,NA,R,NA,R,NA,NA,NA,S,S
COLI204,Escherichia coli,,,1.0,,16.0,,,,,,32.0,16.0,4.0,,0.25,0.5,2.0,32.0,,8.0,2.0,32.0,,0.12,,0.25,,0.06,0.5,,0.06,0.12,,,32.0,,0.5,1.0,,0.25,0.25,,,,,0.06,0.25,,,1.0,64.0,,,,,64.0,,0.5,,64.0,,,,2.0,4.0,NA,NA,S,NA,R,NA,NA,NA,NA,NA,R,R,S,NA,S,S,R,R,NA,R,R,R,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,NA,NA,NA,S,S,NA,NA,R,R,NA,NA,NA,NA,R,NA,R,NA,R,NA,NA,NA,S,S
COLI205,Escherichia coli,,,2.0,,16.0,,,,,,4.0,32.0,4.0,,0.25,0.5,16.0,32.0,,2.0,32.0,32.0,,0.12,,4.0,,0.06,0.5,,0.25,0.12,,,32.0,,0.5,1.0,,0.25,0.25,,,,,0.06,0.25,,,0.5,64.0,,,,,64.0,,0.5,,64.0,,,,8.0,64.0,NA,NA,S,NA,R,NA,NA,NA,NA,NA,R,R,S,NA,S,S,R,R,NA,R,R,R,NA,S,NA,R,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,NA,NA,NA,S,S,NA,NA,R,R,NA,NA,NA,NA,R,NA,R,NA,R,NA,NA,NA,R,R
COLI206,Escherichia coli,,,2.0,,16.0,,,,,,4.0,4.0,8.0,,0.25,0.5,0.5,0.5,,2.0,1.0,16.0,,0.12,,0.25,,0.06,0.5,,0.06,0.12,,,32.0,,0.12,1.0,,0.12,0.25,,,,,0.06,0.25,,,1.0,32.0,,,,,16.0,,0.5,,8.0,,,,2.0,4.0,NA,NA,S,NA,R,NA,NA,NA,NA,NA,R,R,S,NA,S,S,S,S,NA,R,S,R,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,NA,NA,NA,S,S,NA,NA,R,R,NA,NA,NA,NA,S,NA,R,NA,S,NA,NA,NA,S,S
KLEOXY35,Klebsiella oxytoca,,,0.5,2.0,16.0,,,,,,0.5,1.0,0.12,,2.0,0.5,16.0,,,2.0,1.0,32.0,,0.25,,0.25,,0.06,0.5,,2.0,1.0,,,4.0,,0.25,1.0,,0.5,0.25,,20.0,,,0.06,0.25,,,,64.0,,,,,64.0,,0.25,,64.0,,1.0,,64.0,64.0,NA,NA,S,S,R,NA,NA,NA,NA,NA,S,S,S,NA,R,S,R,NA,NA,R,S,R,NA,S,NA,S,NA,S,R,NA,U,S,NA,NA,S,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,S,NA,R,NA,S,NA,R,R
KLEVAR8,Klebsiella variicola,,,1.0,2.0,16.0,,,,32.0,,32.0,32.0,0.12,,2.0,0.5,16.0,32.0,,16.0,32.0,32.0,,8.0,,16.0,,8.0,,,32.0,16.0,,,32.0,,0.5,1.0,,2.0,0.5,,20.0,,,8.0,2.0,,,,64.0,,,,,,,0.25,,64.0,,1.0,,64.0,,NA,NA,S,S,R,NA,NA,NA,R,NA,R,R,S,NA,R,S,R,R,NA,R,R,R,NA,R,NA,R,NA,R,NA,NA,R,R,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,R,S,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,S,NA,R,NA,S,NA,R,NA
HAFALV10,Hafnia alvei,,,4.0,,,,,,,,32.0,,,,,4.0,16.0,,,16.0,,,,,,,,2.0,,,2.0,,,,,,0.12,,,2.0,,,,,,0.5,,,,,,,,,,,,,,,,,,64.0,,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,R,R,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,U,NA,NA,NA,NA,NA,S,NA,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA
ENTHOR46,Enterobacter hormaechei steigerwaltii,,,2.0,,,,,,,,32.0,32.0,32.0,,2.0,0.5,16.0,32.0,,16.0,32.0,,,8.0,,16.0,,8.0,,,32.0,16.0,,,,,16.0,8.0,,2.0,1.0,,,,,2.0,,16.0,,4.0,64.0,,,,,64.0,,,,64.0,,,,64.0,64.0,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,R,R,NA,R,S,R,R,NA,R,R,NA,NA,R,NA,R,NA,R,NA,NA,R,R,NA,NA,NA,NA,R,R,NA,S,S,NA,NA,NA,NA,S,NA,R,NA,R,R,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,R
KLEPNE87,Klebsiella pneumoniae,,,0.5,,16.0,,,,,,4.0,32.0,8.0,,2.0,0.5,2.0,32.0,,2.0,32.0,32.0,,8.0,,16.0,,0.5,4.0,,4.0,16.0,,,32.0,,2.0,8.0,,8.0,2.0,,,,,8.0,4.0,16.0,,4.0,64.0,,,,,64.0,,,,64.0,,,,8.0,64.0,NA,NA,S,NA,R,NA,NA,NA,NA,NA,R,R,S,NA,R,S,R,R,NA,R,R,R,NA,R,NA,R,NA,R,R,NA,R,R,NA,NA,R,NA,R,R,NA,R,S,NA,NA,NA,NA,R,U,R,NA,R,R,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,R
KLEPNE88,Klebsiella pneumoniae,,,0.25,,16.0,,,,,,4.0,32.0,8.0,,2.0,0.5,2.0,32.0,,2.0,32.0,32.0,,8.0,,16.0,,0.5,4.0,,4.0,16.0,,,32.0,,16.0,8.0,,8.0,2.0,,,,,8.0,,16.0,,4.0,64.0,,,,,64.0,,,,64.0,,,,8.0,64.0,NA,NA,S,NA,R,NA,NA,NA,NA,NA,R,R,S,NA,R,S,R,R,NA,R,R,R,NA,R,NA,R,NA,R,R,NA,R,R,NA,NA,R,NA,R,R,NA,R,S,NA,NA,NA,NA,R,NA,R,NA,R,R,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,R
PRTMIR25,Proteus mirabilis,,,4.0,,16.0,,,,,,4.0,4.0,2.0,,0.25,8.0,2.0,1.0,,4.0,4.0,4.0,,0.12,,0.25,,0.06,0.5,,0.5,0.25,,,16.0,,1.0,1.0,,2.0,2.0,,,,,0.12,0.25,2.0,,0.25,,,,,,8.0,,,,8.0,,,,1.0,4.0,NA,NA,S,NA,R,NA,NA,NA,NA,NA,R,R,S,NA,S,R,R,S,NA,R,R,U,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,NA,NA,NA,S,S,S,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,S,NA,NA,NA,S,S
ENTHOR47,Enterobacter hormaechei steigerwaltii,,,0.5,,,,,,,,32.0,32.0,4.0,,0.25,1.0,16.0,32.0,,16.0,32.0,,,4.0,,16.0,,5.0,0.5,,1.0,0.5,,,,,0.12,1.0,,5.0,0.25,,,,,0.06,0.25,2.0,,0.25,64.0,,,,,64.0,,,,64.0,,,,16.0,64.0,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,R,S,NA,S,S,R,R,NA,R,R,NA,NA,S,NA,R,NA,R,R,NA,S,S,NA,NA,NA,NA,S,S,NA,R,S,NA,NA,NA,NA,S,S,S,NA,S,R,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,R
HAFALV11,Hafnia alvei,,,0.5,2.0,16.0,,,,32.0,,32.0,32.0,0.12,,2.0,0.5,16.0,32.0,,16.0,32.0,,,8.0,,16.0,,2.0,,,32.0,8.0,,,32.0,,0.12,1.0,,0.5,0.25,,20.0,,,0.5,1.0,,,,64.0,,,,,64.0,,0.25,,64.0,,1.0,,64.0,64.0,NA,NA,S,S,R,NA,NA,NA,R,NA,R,R,S,NA,R,S,R,R,NA,R,R,NA,NA,R,NA,R,NA,R,NA,NA,R,R,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,S,NA,R,NA,S,NA,R,R
KLEPNE84,Klebsiella pneumoniae,,,8.0,,16.0,,,,,,4.0,32.0,16.0,,2.0,0.5,2.0,32.0,,2.0,32.0,32.0,,0.5,,16.0,,0.5,,,4.0,16.0,,,32.0,,2.0,1.0,,16.0,4.0,,,,,8.0,,16.0,,4.0,64.0,,,,,64.0,,,,64.0,,,,8.0,64.0,NA,NA,R,NA,R,NA,NA,NA,NA,NA,R,R,R,NA,R,S,R,R,NA,R,R,R,NA,S,NA,R,NA,R,NA,NA,R,R,NA,NA,R,NA,R,S,NA,R,R,NA,NA,NA,NA,R,NA,R,NA,R,R,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,R
PRTMIR45,Proteus mirabilis,,,2.0,2.0,16.0,,,,1.0,,0.06,1.0,0.12,,2.0,8.0,0.06,0.25,,0.06,1.0,1.0,,0.12,,0.25,,0.06,0.5,,0.25,0.12,,,4.0,,0.5,1.0,,2.0,4.0,,160.0,,,0.25,4.0,,,,64.0,,,,,64.0,,0.25,,64.0,,1.0,,2.0,16.0,NA,NA,S,S,R,NA,NA,NA,S,NA,S,S,S,NA,R,R,S,S,NA,S,S,U,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,S,NA,S,S,NA,S,R,NA,R,NA,NA,S,U,NA,NA,NA,R,NA,NA,NA,NA,R,NA,S,NA,R,NA,S,NA,S,R
COLI207,Escherichia coli,,,2.0,,16.0,,,,,,32.0,16.0,4.0,,0.5,0.5,4.0,8.0,,16.0,4.0,32.0,,0.12,,4.0,,0.06,0.5,,0.25,0.12,,,32.0,,1.0,1.0,,0.25,0.25,,,,,0.06,0.25,,,2.0,64.0,,,,,64.0,,0.5,,64.0,,,,8.0,64.0,NA,NA,S,NA,R,NA,NA,NA,NA,NA,R,R,S,NA,R,S,R,R,NA,R,R,R,NA,S,NA,R,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,NA,NA,NA,S,S,NA,NA,R,R,NA,NA,NA,NA,R,NA,R,NA,R,NA,NA,NA,R,R
COLI208,Escherichia coli,,,16.0,,16.0,,,,,,16.0,16.0,32.0,,0.25,0.5,2.0,32.0,,2.0,1.0,16.0,,0.25,,0.25,,0.06,0.5,,1.0,0.5,,,32.0,,2.0,8.0,,0.25,0.25,,,,,0.06,0.25,,,0.5,64.0,,,,,16.0,,0.5,,64.0,,,,4.0,8.0,NA,NA,R,NA,R,NA,NA,NA,NA,NA,R,R,R,NA,S,S,R,R,NA,R,S,R,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,R,R,NA,S,S,NA,NA,NA,NA,S,S,NA,NA,R,R,NA,NA,NA,NA,S,NA,R,NA,R,NA,NA,NA,S,R
KLEPNE133,Klebsiella pneumoniae,,,1.0,2.0,16.0,,,,1.0,,32.0,1.0,0.5,,16.0,0.5,16.0,1.0,,16.0,2.0,32.0,,0.5,,1.0,,8.0,,,32.0,2.0,,,32.0,,0.25,1.0,,8.0,0.25,,160.0,,,8.0,0.25,,,,64.0,,,,,16.0,,0.25,,64.0,,1.0,,64.0,16.0,NA,NA,S,S,R,NA,NA,NA,S,NA,R,S,S,NA,R,S,R,S,NA,R,R,R,NA,S,NA,S,NA,R,NA,NA,R,U,NA,NA,R,NA,S,S,NA,R,S,NA,R,NA,NA,R,S,NA,NA,NA,R,NA,NA,NA,NA,S,NA,S,NA,R,NA,S,NA,R,R
KLEOXY36,Klebsiella oxytoca,,,8.0,16.0,16.0,,,,32.0,,32.0,32.0,4.0,,16.0,0.5,16.0,32.0,,16.0,32.0,32.0,,1.0,,16.0,,1.0,,,32.0,16.0,,,32.0,,16.0,8.0,,1.0,0.25,,160.0,,,1.0,0.5,,,,64.0,,,,,64.0,,2.0,,64.0,,8.0,,64.0,64.0,NA,NA,R,R,R,NA,NA,NA,R,NA,R,R,S,NA,R,S,R,R,NA,R,R,R,NA,S,NA,R,NA,R,NA,NA,R,R,NA,NA,R,NA,R,R,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,R,NA,R,NA,R,NA,R,R
COLI209,Escherichia coli,,,1.0,,16.0,,,,,,4.0,2.0,32.0,,2.0,0.5,0.25,1.0,,1.0,1.0,16.0,,0.12,,0.25,,0.06,0.5,,0.06,0.12,,,16.0,,0.5,1.0,,0.12,0.5,,,,,0.06,0.25,16.0,,4.0,16.0,,,,,8.0,,0.5,,8.0,,,,1.0,4.0,NA,NA,S,NA,R,NA,NA,NA,NA,NA,R,U,R,NA,R,S,S,S,NA,S,S,R,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,NA,NA,NA,S,S,R,NA,R,R,NA,NA,NA,NA,S,NA,R,NA,S,NA,NA,NA,S,S
